N° Ticket;Statut;Titre;N° PPV Site;Nom du Site;Code Banco;Nom Contrat;Code Agence;Agence;Région;Util. Demandeur;Util. Prise en compte;Util. Resp. Ticket;Util. Cloture;Date Demande;Date Prise en compte;Date Réal. Prog.;Date Cloture;Type de compte;Imputation;
29355;Cloturé sans suite;Mise à jour version S4Tools en V3;;;;;HC115;Hors Contrat;Occitanie;AIH262;AIH262;AIH262;AIH262;2019-11-07;2019-11-07;2019-11-07;2020-01-27;Exploitation;-;
29352;Cloturé sans suite;Problème open client;13303;BÉZIERS STEP de Béziers Plaine St Pierre;22484;L'EAU DE BÉZIERS MEDITERRANEE - LOT 1;1112;AG Béziers Méditerranée;Occitanie;GJH222;GJH222;GJH222;GJH222;2019-11-07;2019-11-07;2019-11-07;2019-11-07;Exploitation;-;
29351;Cloturé sans suite;Modification Adressage;98701;BALARUC-LE-VIEUX RESEAU EU  amont PR village;24592;SETE AGGLOPOLE MEDITERRANEE - THAU MARITIMA;1111;AG Thau Méditerranée;Occitanie;GDC408;HCE437;HCE437;HCE437;2019-11-07;2019-11-07;2019-11-07;2019-11-07;Exploitation;-;
29349;Cloturé sans suite;Formation AD Blue;;;;;HC115;Hors Contrat;Occitanie;IAF033;IAF033;IAF033;IAF033;2019-11-07;2019-11-07;2019-11-07;2019-11-28;Exploitation;-;
29329;Cloturé sans suite;Topkapi planté;13303;BÉZIERS STEP de Béziers Plaine St Pierre;22484;L'EAU DE BÉZIERS MEDITERRANEE - LOT 1;1112;AG Béziers Méditerranée;Occitanie;GJH222;GJH222;GJH222;GJH222;2019-11-07;2019-11-07;2019-11-07;2019-11-07;Exploitation;-;
29328;Cloturé sans suite;doublons;;;;;1112;AG Béziers Méditerranée;Occitanie;JJ5285;IAF033;IAF033;IAF033;2019-11-07;2019-11-07;2019-11-07;2019-11-07;Exploitation;-;
29322;Cloturé sans suite;Document IP BEZIERS;;;;;HC115;Hors Contrat;Occitanie;IAF033;IAF033;IAF033;IAF033;2019-11-06;2019-11-06;2019-11-06;2019-11-07;Exploitation;-;
29320;Cloturé sans suite;Passage en GPRS;16263;MARSILLARGUES PR ASA SUD;16908;MARSILLARGUES - ASA ASSAINISSEMENT - Maintenance stations de pompage;1109;AG Occitanie Nord Est;Occitanie;IFD089;FCK343;FCK343;FCK343;2019-11-06;2019-11-06;2019-11-06;2019-11-06;Exploitation;-;
29319;Cloturé sans suite;Passage en GPRS;16262;MARSILLARGUES PR ASA NORD;16908;MARSILLARGUES - ASA ASSAINISSEMENT - Maintenance stations de pompage;1109;AG Occitanie Nord Est;Occitanie;IFD089;FCK343;FCK343;FCK343;2019-11-06;2019-11-06;2019-11-06;2019-11-06;Exploitation;-;
29316;Cloturé sans suite;Remplacer modem RTC par modem GPRS + ajout infos;72902;PEGAIROLLES UTEP Unité de Filtration;26900;PÉGAIROLLES-DE-L'ESCALETTE;1111;AG Thau Méditerranée;Occitanie;ICA467;IAF033;IAF033;IAF033;2019-11-06;2019-11-06;2019-11-06;2019-11-07;Exploitation;-;
